LNR,RESPONSE
1754,0.10298417577002526
1770,0.10163902002134029
1465,0.08443800227579008
1470,0.08503633822516954
1478,0.08734074356281751
1782,0.08519360105148222
1485,0.08846617229893326
1519,0.0888593197043213
1835,0.09892585746520947
1522,0.08769514030464381
1539,0.08568902601934016
1853,0.10167686391683328
1856,0.08811684715847344
2502,0.08527828768333108
2182,0.10425586261966048
2191,0.09630423506504057
2522,0.09005577422934478
2530,0.10270655919112297
2215,0.08466452050276915
2550,0.10109826122769415
2570,0.08798323587749322
2574,0.08576918598158641
2579,0.08684546273381812
2247,0.10691028583117711
2674,0.08465036566619911
11434,0.08888701219987327
11122,0.10129936696958186
11127,0.10222674614857456
11443,0.10209045820379593
11170,0.09485737772373803
11191,0.08545942829701021
11198,0.10216733441131476
10936,0.09219504617153945
11244,0.09128285525164692
11247,0.10108631064771388
11252,0.08797395695996925
11259,0.09301494427136364
10945,0.08547351321753735
10951,0.08404720231381801
11271,0.0998283848587814
10963,0.10636523441326495
11282,0.08569325519273792
11291,0.0836294906608733
10980,0.08610940753621382
10994,0.08481296968738415
10998,0.09485737772373803
11303,0.0882732842083938
11630,0.08359727446333497
11636,0.08416135466117032
11949,0.08699092358770043
11950,0.10026212039785452
11956,0.10232135065917217
11648,0.09485737772373803
11653,0.09509974644626729
11967,0.08389689920272633
11972,0.08442908343549636
11975,0.08389436604195964
12110,0.08465652622099083
12113,0.10559026884351366
11712,0.08363095388238911
11716,0.0921846577932529
12000,0.08391135753525383
11722,0.10028474148113022
12023,0.09485737772373803
12046,0.08705999345833419
11762,0.09301494427136364
12071,0.0839171583597138
12077,0.08460474196240145
11785,0.10274268730217195
11788,0.08491786323645131
11790,0.08412645181372397
11800,0.09733429830657733
11806,0.08527112029075877
11816,0.08439459815902615
11505,0.08451426619107263
11837,0.08395284736169788
11531,0.10201303445399143
11848,0.08541893781047571
11854,0.08403384792796487
11877,0.09016489197925776
11563,0.0843188771622702
11567,0.08700823351348566
11894,0.08650139459591098
11906,0.08673401636841807
11917,0.09485737772373803
11610,0.09485737772373803
11923,0.08603055222813083
12596,0.08689739702758746
