LNR,RESPONSE
1754,0.1388595908379216
1770,0.13775976341951876
1465,0.11764306133623778
1470,0.11821455767930095
1478,0.1210488658054045
1782,0.11814123281410038
1485,0.12119837696751061
1519,0.12512358221935013
1835,0.1367728011893433
1522,0.1204581434049173
1539,0.11790208856031725
1853,0.13853761724841565
1856,0.12417769479040529
2502,0.11915608284093175
2182,0.14062698433771523
2191,0.1327324744770505
2522,0.12776186938503065
2530,0.13902073883073524
2215,0.11764029031248113
2550,0.1382200965507132
2570,0.1214112544844306
2574,0.11816586049206232
2579,0.12256257464591547
2247,0.1412458275339911
2674,0.11836797976133102
11434,0.1212988178111941
11122,0.1377379526489107
11127,0.13996810641494623
11443,0.13856852146055454
11170,0.1286804640664296
11191,0.11883612880487411
11198,0.13878625823576818
10936,0.12840545237744455
11244,0.12481883730137411
11247,0.1373919814173495
11252,0.12173651451353044
11259,0.12840545237744455
10945,0.11842661736581345
10951,0.11739969514657708
11271,0.13720651930573247
10963,0.14073040747620322
11282,0.11858770458087942
11291,0.1179302542028541
10980,0.12040501980591987
10994,0.11735780213099804
10998,0.1286804640664296
11303,0.12496980925245352
11630,0.11735261000186523
11636,0.11771409085366472
11949,0.12239987833114531
11950,0.13692169770283952
11956,0.13925403459570507
11648,0.1286804640664296
11653,0.13152973665902828
11967,0.11712043508797289
11972,0.11835894423154332
11975,0.11694046684181936
12110,0.11761584246426139
12113,0.14110677862005797
11712,0.11681449039122811
11716,0.12840545237744455
12000,0.11738952261787189
11722,0.13787042244588182
12023,0.1286804640664296
12046,0.12153656229907542
11762,0.12840545237744455
12071,0.11691366075396957
12077,0.11952064435045986
11785,0.13925275464428444
11788,0.11715293749983755
11790,0.11693441251232772
11800,0.13613507295968796
11806,0.1184408910526514
11816,0.11790007997796206
11505,0.1182798978832697
11837,0.11683512593822418
11531,0.13878064836506054
11848,0.1187507622794312
11854,0.11744422135651852
11877,0.12767347777585586
11563,0.11812253212671771
11567,0.1206247061946139
11894,0.1211449722342137
11906,0.12130967183937329
11917,0.1286804640664296
11610,0.1286804640664296
11923,0.11969800177662797
12596,0.11889451289577588
12603,0.11756426309952268
12608,0.11958372403808444
12633,0.12062788423459085
12637,0.12125058086817958
21484,0.12840545237744455
21184,0.12106854473756058
21247,0.12207337624840778
20991,0.1390550349939339
21018,0.12107581804079916
21019,0.13759570802213275
21047,0.11841193621660286
21054,0.11716198004455515
21374,0.12753270666946767
21392,0.1180241123562881
21713,0.11718172579685372
22019,0.12088787760887247
22025,0.1384811930222802
21722,0.13737926839608572
21728,0.11798035228399753
22039,0.1286804640664296
22044,0.11820515449192699
61900,0.11921169595721504
62548,0.13734561924608618
63176,0.11868697801671656
64473,0.13768776929749424
64779,0.14103644069313281
64780,0.11847632654694724
64784,0.11811358338489511
65105,0.1286804640664296
65431,0.13839951993916846
65433,0.14045847123274868
66055,0.12009384186356906
66071,0.1286804640664296
61280,0.13753874014768047
61281,0.13683696540763796
61284,0.1174284116483524
61597,0.11830635638484475
